Height(km),Electron Density(m^-3),Electron Density(m^-3) easyfit,Solar Flux(W*m^-2),Beta(km^-1),H'(km)
50,19728884.946846317,25417139.4082801,9e-05,0.487918251631758,62.28420185628713
51,27660407.38540113,35202124.6257754,9e-05,0.487918251631758,62.28420185628713
52,38780607.15482329,48735721.48639831,9e-05,0.487918251631758,62.28420185628713
53,54371415.08228442,67493064.46620458,9e-05,0.487918251631758,62.28420185628713
54,76230131.37076136,93441041.61485694,9e-05,0.487918251631758,62.28420185628713
55,106876617.428648,129413587.39280087,9e-05,0.487918251631758,62.28420185628713
56,149843784.17811328,179167155.9253871,9e-05,0.487918251631758,62.28420185628713
57,210084864.18282238,248142186.67253202,9e-05,0.487918251631758,62.28420185628713
58,294544417.71340126,343549347.9734438,9e-05,0.487918251631758,62.28420185628713
59,412958898.0319327,475807555.217064,9e-05,0.487918251631758,62.28420185628713
60,578979064.6437676,658733662.7745416,9e-05,0.487918251631758,62.28420185628713
61,811743635.7306699,912245238.0977296,9e-05,0.487918251631758,62.28420185628713
62,1138085589.5966969,1262961549.1637373,9e-05,0.487918251631758,62.28420185628713
63,1595625456.4063022,1749211540.0373325,9e-05,0.487918251631758,62.28420185628713
64,2237108193.2722244,2421702875.673369,9e-05,0.487918251631758,62.28420185628713
65,3136483595.390417,3354000033.862235,9e-05,0.487918251631758,62.28420185628713
66,4397431189.845056,4643458690.444877,9e-05,0.487918251631758,62.28420185628713
67,6165312357.393361,6431226296.945472,9e-05,0.487918251631758,62.28420185628713
68,8643927516.593302,8903736832.817163,9e-05,0.487918251631758,62.28420185628713
69,12119010129.716885,12330311909.067856,9e-05,0.487918251631758,62.28420185628713
70,16991165907.192179,17070749377.460752,9e-05,0.487918251631758,62.28420185628713
71,23822054424.87522,23642575877.165325,9e-05,0.487918251631758,62.28420185628713
72,33399136946.894547,32732811925.010693,9e-05,0.487918251631758,62.28420185628713
73,46826454549.30191,45334154494.22715,9e-05,0.487918251631758,62.28420185628713
74,65651901399.25809,62763050547.075905,9e-05,0.487918251631758,62.28420185628713
75,92045665186.96986,86925310191.76132,9e-05,0.487918251631758,62.28420185628713
76,129050405230.26642,120344091518.91298,9e-05,0.487918251631758,62.28420185628713
77,180932008653.17395,166661973585.01477,9e-05,0.487918251631758,62.28420185628713
78,253671359627.73788,230735832378.29565,9e-05,0.487918251631758,62.28420185628713
79,355653812580.6978,319563558925.39325,9e-05,0.487918251631758,62.28420185628713
80,498635851476.5295,442421040506.92523,9e-05,0.487918251631758,62.28420185628713
81,699100371154.6266,612742463060.8289,9e-05,0.487918251631758,62.28420185628713
82,980156816846.0131,848333274091.7277,9e-05,0.487918251631758,62.28420185628713
83,1374205228961.637,1174921109691.8518,9e-05,0.487918251631758,62.28420185628713
84,1926671302845.395,1626624204622.7434,9e-05,0.487918251631758,62.28420185628713
85,2701243039231.372,2252625406437.542,9e-05,0.487918251631758,62.28420185628713
86,3787212663737.616,3118656205794.4844,9e-05,0.487918251631758,62.28420185628713
87,5309770188044.922,4319363030645.645,9e-05,0.487918251631758,62.28420185628713
88,7444435249122.269,5979959331944.809,9e-05,0.487918251631758,62.28420185628713
89,10437290921394.84,8282099345594.032,9e-05,0.487918251631758,62.28420185628713
90,14633352045163.545,11466185388537.75,9e-05,0.487918251631758,62.28420185628713
