#Height(km),Electron Density(m^-3)
50,7660757.34821149
51,10298714.917745892
52,13845044.83512504
53,18612542.246055033
54,25021712.31560729
55,33637859.83280784
56,45220950.50328952
57,60792641.82040753
58,81726395.80487196
59,109868621.78133613
60,147701534.28704965
61,198562090.5863993
62,266936318.62630123
63,358854995.89236736
64,482425579.0280561
65,648547301.7362143
66,871872514.3818771
67,1172099057.847533
68,1575707662.2389634
69,2118297613.3417807
70,2847726698.4368973
71,3828332382.5290365
72,5146606533.262172
73,6918824219.416107
74,9301299462.043093
75,12504172521.079634
76,16809944790.50766
77,22598396126.057102
78,30380082375.914204
79,40841367680.21007
80,54904963500.44585
81,73811314072.2761
82,99228006681.61702
83,133396857023.3777
84,179331642938.3853
85,241083927137.38797
86,324100415139.53394
87,435703368287.00287
88,585736445462.1553
89,787432938357.8352
90,1058582980817.6339
